resource_id	kind	authoritative_url	release	assembly	bytes	sha256	retrieved_utc	license_reuse	cache_path
ensembl91_gtf	reference	https://ftp.ensembl.org/pub/release-91/gtf/homo_sapiens/Homo_sapiens.GRCh38.91.gtf.gz	Ensembl 91; SG-NEx pinned reference catalog	GRCh38	41862461	1abe442ea2ba90c022545be71c4e7b95b66d45c8c9e4e4ec3788b6be440b598d	2026-09-23T04:34:44.223353+00:00	Ensembl public reuse; SG-NEx mirror CC BY-NC 4.0; see licensing audit	.cache/phase3a/references/ensembl91.gtf.gz
ensembl91_cdna	reference	https://ftp.ensembl.org/pub/release-91/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz	Ensembl 91; SG-NEx pinned reference catalog	GRCh38	65088589	a7f0022e884826d70e0a151f6c38547aea8d443eaa9653aaf56e698e23109201	2026-09-23T04:34:48.709432+00:00	Ensembl public reuse; SG-NEx mirror CC BY-NC 4.0; see licensing audit	.cache/phase3a/references/ensembl91.cdna.fa.gz
ensembl91_ncrna	reference	https://ftp.ensembl.org/pub/release-91/fasta/homo_sapiens/ncrna/Homo_sapiens.GRCh38.ncrna.fa.gz	Ensembl 91; SG-NEx pinned reference catalog	GRCh38	9365901	0ab3565714f88fb98eb7df7814fe3fed770e2b098d37cd7b83601258f87e75dd	2026-09-23T04:34:50.261811+00:00	Ensembl public reuse; SG-NEx mirror CC BY-NC 4.0; see licensing audit	.cache/phase3a/references/ensembl91.ncrna.fa.gz
ensembl91_genome	reference	https://ftp.ensembl.org/pub/release-91/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz	Ensembl 91; SG-NEx pinned reference catalog	GRCh38	881214396	745f93e65defa8a4c5e9e99be9d87cce4c767ab6ff8f8683f8fb1c4ecbd3e836	2026-09-23T04:36:46.405591+00:00	Ensembl public reuse; SG-NEx mirror CC BY-NC 4.0; see licensing audit	.cache/phase3a/references/ensembl91.genome.fa.gz
sgnex_transcriptome	reference	https://sg-nex-data.s3.ap-southeast-1.amazonaws.com/data/annotations/transcriptome_fasta/Homo_sapiens.GRCh38.cdna.ncrna.fa	Ensembl 91; SG-NEx pinned reference catalog	GRCh38	383778406	ceeaaeb8fe0fe3a3472e736c7283903d6fc34166c9fc89ed832b2584c344ec2c	2026-09-23T04:37:34.645778+00:00	Ensembl public reuse; SG-NEx mirror CC BY-NC 4.0; see licensing audit	.cache/phase3a/references/sgnex.cdna.ncrna.fa
sgnex_augmented_gtf	reference	https://sg-nex-data.s3.ap-southeast-1.amazonaws.com/data/annotations/gtf_file/hg38_sequins_SIRV_ERCCs_longSIRVs_v5_reformatted.gtf	Ensembl 91; SG-NEx pinned reference catalog	GRCh38	264174466	c6fd87310bd3b1dcb271bb535b1ce872cb41bea1638493f65918653455c2162a	2026-09-23T04:38:04.620715+00:00	Ensembl public reuse; SG-NEx mirror CC BY-NC 4.0; see licensing audit	.cache/phase3a/references/sgnex.augmented.gtf
sgnex_augmented_transcriptome	reference	https://sg-nex-data.s3.ap-southeast-1.amazonaws.com/data/annotations/transcriptome_fasta/hg38_sequins_SIRV_ERCCs_longSIRVs_cdna.fa	Ensembl 91; SG-NEx pinned reference catalog	GRCh38	309643020	6acae821e99faefb9b8654da7694e3174f32fb82a9a3affd41ea2c45bc4842ba	2026-09-23T04:38:43.602525+00:00	Ensembl public reuse; SG-NEx mirror CC BY-NC 4.0; see licensing audit	.cache/phase3a/references/sgnex.augmented.fa
