runname	mix	protocol	method	quantity	n_truth	n_rows_observed	n_positive	observed_fraction	positive_fraction	rank_spearman	median_abs_log10_relative_error	median_signed_log10_relative_error	truth_source	missing_sparse_rows_are_not_zero
allSpikinReadsCombined_SIRV-1_directcDNA	SIRV-1	directcDNA	salmon_lr	estimates	337	332	114	0.9851632047477745	0.33827893175074186	0.8020949239261401	0.5528456692183096	0.18592628846211937	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_directcDNA	SIRV-1	directcDNA	salmon_lr	normEst	337	332	114	0.9851632047477745	0.33827893175074186	0.8020949239261401	0.5528456692183102	0.18592628846211948	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_directcDNA_sorted	SIRV-1_directcDNA	directcDNA	bambu_lr	estimates	337	335	121	0.9940652818991098	0.3590504451038576	0.7657025452626007	0.5072623436848704	0.09479764764309194	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-1_directcDNA_sorted	SIRV-1_directcDNA	directcDNA	bambu_lr	normEst	337	335	121	0.9940652818991098	0.3590504451038576	0.7657025452626007	0.5072623436848709	0.09479764764309155	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_Illumina	SIRV-4	Illumina	rsem_sr	estimates	337	335	130	0.9940652818991098	0.3857566765578635	0.7010940870006476	1.012698653695037	0.9762975642400911	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_Illumina	SIRV-4	Illumina	rsem_sr	normEst	337	335	130	0.9940652818991098	0.3857566765578635	0.7010940870006476	1.012698653695037	0.9762975642400913	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_Illumina	SIRV-4	Illumina	salmon_sr	estimates	337	332	166	0.9851632047477745	0.49258160237388726	0.8138668234311004	1.0777861419822092	1.0534982944863587	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_Illumina	SIRV-4	Illumina	salmon_sr	normEst	337	332	166	0.9851632047477745	0.49258160237388726	0.8138668234311004	1.0777861419822097	1.0534982944863591	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_PacBio	SIRV-4	PacBio	NanoCount_lr	estimates	337	131	131	0.3887240356083086	0.3887240356083086	0.40745658198831397	0.795391253839944	-0.09912520937953528	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_PacBio	SIRV-4	PacBio	NanoCount_lr	normEst	337	131	131	0.3887240356083086	0.3887240356083086	0.40745658198831397	0.7953912538399438	-0.09912520937953716	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_PacBio	SIRV-4	PacBio	salmon_lr	estimates	337	332	159	0.9851632047477745	0.47181008902077154	0.4702705267703195	0.8985524743837171	0.00453737289287649	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_PacBio	SIRV-4	PacBio	salmon_lr	normEst	337	332	159	0.9851632047477745	0.47181008902077154	0.4702705267703195	0.8985524743837153	0.004537372892876681	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_PacBio_sorted	SIRV-4_PacBio	PacBio	bambu_lr	estimates	337	335	138	0.9940652818991098	0.4094955489614243	0.450881756453641	0.7836489425343752	-0.07327263025655185	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_PacBio_sorted	SIRV-4_PacBio	PacBio	bambu_lr	normEst	337	335	138	0.9940652818991098	0.4094955489614243	0.450881756453641	0.783648942534375	-0.07327263025655242	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
allSpikinReadsCombined_SIRV-4_cDNA	SIRV-4	cDNA	NanoCount_lr	estimates	337	162	162	0.4807121661721068	0.4807121661721068	0.7133034686918587	1.2565025492128998	1.1814421401317332	SG-NEx spikein.rds via phase3a spike_truth.tsv	True
