candidate	n	median	q05	q95	spearman_with_primary	spearman_with_independent_abundance
signed_log2_offset_0.1	49309	-3.830253729826516	-7.738456307868639	1.8276099893345	0.9999999999999999	-0.19778515189280932
absolute_log2_offset_0.1	49309	3.911933382887704	0.1803541057979535	7.754770078617906	-0.9187661080211519	0.21472099109765333
signed_all_Illumina_libraries_descriptive	49309	-4.096997917255676	-7.7106057180293845	1.781962043502863	0.9784272161476351	-0.22410396311899566
signed_log2_offset_0.01	49309	-6.903313399862748	-11.035829737849195	1.8741755481569877	0.9938482545987433	-0.16004276068950615
signed_log2_offset_1.0	49309	-1.4002698392150996	-4.5367103907127655	1.5917855344136744	0.979458054380116	-0.26821607674430054
detection_gt0_fraction_difference	49309	-0.75	-1.0	0.0	0.7961899940040448	0.17218399079221552
detection_ge1_TPM_fraction_difference	49309	-0.5	-1.0	0.0	0.8615522490582382	-0.05155172651661797
percentile_rank_difference	49309	-0.31217486113139514	-0.5239294653243961	0.15457926463848828	0.9742717832338418	-0.20792118005958019
isoform_fraction_difference	48306	-0.036770329042388195	-0.39068245279356756	0.6035987247553078	0.7517394439599467	-0.06834730157863395
quantifier_rsem_sr	49309	-2.7115527609487073	-7.29813207521603	1.647691522983482	0.8027405124664063	-0.07343347620425138
quantifier_NanoCount_lr	19508	-0.43658665553037146	-5.525297581179889	2.9741917065266166	0.43085414533508515	-0.17001679015337517
quantifier_bambu_lr	49309	-3.5510448179460363	-7.6177033254875965	1.9246634656460895	0.8081455842875799	-0.15299932639392688
