identity_threshold	coverage_threshold	n_transcripts	n_clusters	singleton_count	largest_cluster	clusters_with_multiple_genes	max_genes_in_cluster	edges	structure_inputs_read	sequencing_outcomes_read	longbench_inputs_read
99.0	0.9	15999	4881	2430	38	131	11	4854	False	False	False
95.0	0.9	15999	4314	1858	43	314	34	9595	False	False	False
